onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,reluS+,stable+,10,unsat,3.7318027019500732,unsat,3.8539602756500244,unsat,3.837620496749878
ACASXU_run2a_1_2_batch_2000_converted,prop_1,reluS+,stable+,5,unsat,3.730196475982666,unsat,3.8037259578704834,unsat,3.784532070159912
ACASXU_run2a_1_3_batch_2000_converted,prop_1,reluS+,stable+,9,unsat,3.7869091033935547,unsat,3.8906502723693848,unsat,3.828824043273926
ACASXU_run2a_1_4_batch_2000_converted,prop_1,reluS+,stable+,11,unsat,3.7307302951812744,unsat,3.8414995670318604,unsat,3.8463122844696045
ACASXU_run2a_1_5_batch_2000_converted,prop_1,reluS+,stable+,15,unsat,3.6659207344055176,unsat,3.749650716781616,unsat,3.7844176292419434
ACASXU_run2a_1_6_batch_2000_converted,prop_1,reluS+,stable+,9,unsat,3.757521629333496,unsat,3.818955183029175,unsat,3.8555829524993896
ACASXU_run2a_1_7_batch_2000_converted,prop_1,reluS+,stable+,13,unsat,3.6389012336730957,unsat,3.721595525741577,unsat,3.7076525688171387
ACASXU_run2a_1_8_batch_2000_converted,prop_1,reluS+,stable+,11,unsat,3.6386208534240723,unsat,3.6723644733428955,unsat,3.670412540435791
ACASXU_run2a_1_9_batch_2000_converted,prop_1,reluS+,stable+,12,unsat,3.574022054672241,unsat,3.6314539909362793,unsat,3.618147850036621
ACASXU_run2a_2_1_batch_2000_converted,prop_1,reluS+,stable+,6,unsat,3.7254648208618164,unsat,3.7810680866241455,unsat,3.7858188152313232
ACASXU_run2a_2_2_batch_2000_converted,prop_1,reluS+,stable+,3,unsat,3.866999864578247,unsat,3.9721267223358154,unsat,3.977979898452759
ACASXU_run2a_2_3_batch_2000_converted,prop_1,reluS+,stable+,5,unsat,3.721000909805298,unsat,3.816577434539795,unsat,3.8846843242645264
ACASXU_run2a_2_4_batch_2000_converted,prop_1,reluS+,stable+,8,unsat,3.8556885719299316,unsat,3.896357297897339,unsat,3.8698506355285645
ACASXU_run2a_2_5_batch_2000_converted,prop_1,reluS+,stable+,11,unsat,4.0781145095825195,unsat,4.112063884735107,unsat,4.165860176086426
ACASXU_run2a_2_6_batch_2000_converted,prop_1,reluS+,stable+,6,unsat,3.9040591716766357,unsat,3.9853601455688477,unsat,3.963906764984131
ACASXU_run2a_2_7_batch_2000_converted,prop_1,reluS+,stable+,7,unsat,4.121509790420532,unsat,4.283459663391113,unsat,4.255833864212036
ACASXU_run2a_2_8_batch_2000_converted,prop_1,reluS+,stable+,5,unsat,4.176590204238892,unsat,4.2870612144470215,unsat,4.3087098598480225
